Ticker,ROI_%,Annual_Return_%,Annual_Volatility_%,Sharpe,Beta_vs_Market
INTERNATIONAL_HOLDING_COMPANY_STOCK_PRICE_HISTORY,29937.509,0.813,7.751,-0.295,0.086
EMIRATES_NBD_PJSC_STOCK_PRICE_HISTORY,829.06,35.363,24.475,1.318,1.235
ABU_DHABI_COMMERCIAL_BANK_PJSC_STOCK_PRICE_HISTORY,573.488,30.361,24.367,1.119,0.885
EMAAR_PROPERTIES_STOCK_PRICE_HISTORY,396.642,51.717,28.381,1.713,1.746
EMIRATE_INTEGRATED_TELECOM_STOCK_PRICE_HISTORY,275.6,28.504,16.415,1.548,0.446
DFM_GENERAL_HISTORICAL_DATA,256.303,26.153,10.91,2.113,1.0
GOLD_HISTORICAL_DATA,188.708,29.685,14.904,1.784,-0.037
SALIK_COMPANY_PJSC_STOCK_PRICE_HISTORY,182.273,39.139,24.128,1.494,0.76
UAE_STOCK_DATA,182.273,39.139,24.128,1.494,0.76
FIRST_ABU_DHABI_BANK_STOCK_PRICE_HISTORY,175.125,10.067,22.004,0.317,0.832
ABU_DHABI_NATIONAL_ENERGY_STOCK_PRICE_HISTORY,172.019,7.425,27.576,0.157,0.365
EMIRATES_TELECOMMUNICATIONS_STOCK_PRICE_HISTORY,96.211,-6.942,19.573,-0.513,0.501
ADNOC_STOCK_PRICE_HISTORY,23.929,10.362,18.894,0.384,0.527
DUBAI_ELECTRICITY_AND_WATER_STOCK_PRICE_HISTORY,-1.812,6.404,17.21,0.192,0.717
CRUDE_OIL_WTI_FUTURES_HISTORICAL_DATA,-16.457,-0.411,30.363,-0.116,-0.185
NATURAL_GAS_FUTURES_HISTORICAL_DATA,-23.522,32.74,71.676,0.414,-0.282
